,year,county_name,county_code_year14,prov_code,prov_name,pref_code,pref_name,index_aggregate,coverage_breadth,usage_depth,payment,insurance,monetary_fund,investment,credit,credit_investigation,digitization_level,flb,gdp,per_gdp,urban,industry,ip,tradeopeness
0,2014,万全县,130729,13,河北省,1307,张家口市,44.58,52.42,37.77,20.81,25.62,32.64,53.45,35.34,0.0,31.04,528889.0,634602.0,27323.0,0.21456,0.4326176,0.0643182,0.0105219
1,2014,万安县,360828,36,江西省,3608,吉安市,44.39,33.21,78.26,53.64,83.51,73.66,69.57,85.27,0.0,19.8,341328.0,575617.0,27323.0,0.21456,0.36163235000000005,0.1060565,0.0316283
2,2014,万年县,361129,36,江西省,3611,上饶市,47.34,42.86,60.84,55.19,73.19,69.52,56.26,57.87,0.0,37.63,644512.0,1000000.0,27323.0,0.21456,0.36163235000000005,0.1060565,0.0316283
3,2014,万源市,511781,51,四川省,5117,达州市,41.67,46.64,41.19,24.8,46.55,19.96,39.81,45.24,0.0,26.13,574068.0,1200000.0,28395.0,0.5618333,0.36163235000000005,0.0783333,0.0055396
4,2014,万荣县,140822,14,山西省,1408,运城市,45.07,48.69,44.57,23.25,20.06,39.15,38.36,62.17,0.0,34.01,359126.0,618199.0,13778.0,0.0698386,0.36163235000000005,0.1060565,0.0316283
5,2014,万载县,360922,36,江西省,3609,宜春市,44.57,41.28,67.28,63.68,65.75,73.16,53.28,76.5,0.0,14.19,545631.0,1000000.0,27323.0,0.21456,0.36163235000000005,0.1060565,0.0316283
6,2014,三原县,610422,61,陕西省,6104,咸阳市,49.86,56.76,50.34,41.85,19.39,39.52,48.76,67.04,0.0,26.17,422112.0,1600000.0,27323.0,0.21456,0.36163235000000005,0.1060565,0.0316283
7,2014,三台县,510722,51,四川省,5107,绵阳市,39.87,41.61,49.64,33.94,38.58,33.49,52.99,56.53,0.0,16.35,1100000.0,1900000.0,18337.0,0.5245578,0.36163235000000005,0.1060565,0.0159117
8,2014,三江侗族自治县,450226,45,广西壮族自治区,4502,柳州市,39.23,29.87,49.67,45.16,36.3,28.0,50.54,58.81,0.0,51.2,266865.0,373100.0,12282.0,0.21456,0.1103012,0.0625487,0.0316283
9,2014,三河市,131082,13,河北省,1310,廊坊市,82.09,98.17,84.28,94.46,73.24,100.0,75.6,90.78,0.0,25.0,7800000.0,4900000.0,27323.0,0.21456,0.4352519,0.1937661,0.0107607
10,2014,三穗县,522624,52,贵州省,5226,黔东南苗族侗族自治州,41.1,46.56,34.4,33.97,18.55,5.99,33.52,46.4,0.0,35.28,204577.0,308087.0,19833.0,0.21456,0.1781964,0.1060565,0.0316283
11,2014,三都水族自治县,522732,52,贵州省,5227,黔南布依族苗族自治州,20.44,18.28,22.55,11.24,14.59,3.44,10.88,37.98,0.0,23.74,300375.0,437412.0,16361.0,0.21456,0.0649273,0.1060565,0.0316283
12,2014,三门县,331022,33,浙江省,3310,台州市,77.37,92.68,83.47,99.54,79.29,99.92,77.55,84.54,0.0,15.72,2500000.0,1600000.0,35595.0,0.21456,0.2766093,0.1060565,0.2699683
13,2014,上思县,450621,45,广西壮族自治区,4506,防城港市,40.5,38.1,44.14,34.44,41.42,26.73,58.49,39.9,0.0,41.8,232862.0,666299.0,31980.0,0.21456,0.4655633,0.0271042,0.0316283
